,Open,High,Low,Close,Adj Close,Volume
44826.0,237.8699951172,243.8600006104,237.5700073242,240.9799957275,240.9799957275,31061200
44827.0,239.5399932861,241.1300048828,235.1999969482,237.9199981689,237.9199981689,34137200
44830.0,237.0500030518,241.4499969482,236.8999938965,237.4499969482,237.4499969482,27694200
44831.0,239.9799957275,241.8000030518,234.5,236.4100036621,236.4100036621,27018700
44832.0,236.8099975586,242.3300018311,234.7299957275,241.0700073242,241.0700073242,29029700
44833.0,238.8899993896,239.9499969482,234.4100036621,237.5,237.5,27484200
44834.0,238.2899932861,240.5399932861,232.7299957275,232.8999938965,232.8999938965,35671100
44837.0,235.4100036621,241.6100006104,234.6600036621,240.7400054932,240.7400054932,28880400
44838.0,245.0899963379,250.3600006104,244.9799957275,248.8800048828,248.8800048828,34888400
44839.0,245.9900054932,250.5800018311,244.1000061035,249.1999969482,249.1999969482,20347100
44840.0,247.9299926758,250.3399963379,246.0800018311,246.7899932861,246.7899932861,20239900
44841.0,240.8999938965,241.3200073242,233.1699981689,234.2400054932,234.2400054932,37732400
44844.0,233.0500030518,234.5599975586,226.7299957275,229.25,229.25,29743600
44845.0,227.6199951172,229.0599975586,224.1100006104,225.4100036621,225.4100036621,30474000
44846.0,225.3999938965,227.8600006104,223.9600067139,225.75,225.75,21903900
44847.0,219.8500061035,236.1000061035,219.1300048828,234.2400054932,234.2400054932,42551800
44848.0,235.5399932861,237.2400054932,228.3399963379,228.5599975586,228.5599975586,30187200
44851.0,235.8200073242,238.9600067139,235.1399993896,237.5299987793,237.5299987793,28142300
44852.0,243.2400054932,243.9299926758,235.3699951172,238.5,238.5,26329600
44853.0,237.0399932861,239.6100006104,234.2899932861,236.4799957275,236.4799957275,19985700
44854.0,235.7700042725,241.3099975586,234.8699951172,236.1499938965,236.1499938965,21811000
44855.0,234.7400054932,243.0,234.5,242.1199951172,242.1199951172,26280900
44858.0,243.7599945068,247.8399963379,241.3000030518,247.25,247.25,24911200
44859.0,247.2599945068,251.0399932861,245.8300018311,250.6600036621,250.6600036621,34775500
44860.0,231.1699981689,238.3000030518,230.0599975586,231.3200073242,231.3200073242,82543200
44861.0,231.0399932861,233.6900024414,225.7799987793,226.75,226.75,40424600
44862.0,226.2400054932,236.6000061035,226.0500030518,235.8699951172,235.8699951172,40614800
